Trace,Exp,CPU 0 cumulative IPC,CPU 1 cumulative IPC,CPU 2 cumulative IPC,CPU 3 cumulative IPC,CPU 4 cumulative IPC,CPU 5 cumulative IPC,CPU 6 cumulative IPC,CPU 7 cumulative IPC,CPU 8 cumulative IPC,CPU 9 cumulative IPC,CPU 10 cumulative IPC,CPU 11 cumulative IPC,LLC_AVG_MISS_LAT_CYCLES,CXL_READS_QDELAY_NS,CXL_WRITES_QDELAY_NS,CXL_RDBUS_UTILIZATION,CXL_WRBUS_UTILIZATION,CXL_RDBUS_CONGESTED,CXL_WRBUS_CONGESTED,MISS,LLC_MPKI,Filter
605.mcf_s-994B_12T,base,1.17492,1.1748,1.17535,1.17986,1.17485,1.175,1.17494,1.175,1.17497,1.17502,1.20503,1.17495,228.459,2.82933,0.179099,0.411656,0.0488626,0,0,3968708.45833333,19.8435422916667,1
607.cactuBSSN_s-2421B_12T,base,1.56321,1.54933,1.5674,1.57897,1.53792,1.5783,1.58401,1.57655,1.56278,1.56771,1.57791,1.57923,313.724,0.460838,0.20909,0.237832,0.0594034,0,0,1761328.16666667,8.80664083333333,1
619.lbm_s-2677B_12T,base,0.427246,0.428084,0.424965,0.425122,0.425315,0.425054,0.425682,0.424938,0.425604,0.425298,0.425726,0.427426,388.94,2.87445,20.3657,0.371081,0.606639,0,0,15382633.2083333,76.9131660416667,1
620.omnetpp_s-141B_12T,base,0.606555,0.605175,0.610704,0.611605,0.604752,0.609449,0.60917,0.609173,0.609263,0.60999,0.609639,0.609069,165.289,0.25646,0.595764,0.132585,0.131393,0,0,3143521.08333333,15.7176054166667,1
621.wrf_s-6673B_12T,base,0.974775,0.973937,0.978199,0.983684,0.97447,0.985764,0.974149,0.979164,0.973644,0.974987,0.974142,0.974279,256.922,1.36957,9.16161,0.239501,0.201623,0,0,3316871.375,16.584356875,1
623.xalancbmk_s-10B_12T,base,0.496916,0.496797,0.500361,0.500829,0.496912,0.499392,0.499481,0.500111,0.500258,0.500427,0.500762,0.498323,191.47,0.422791,0.0385968,0.215879,0.00657609,0,0,4839314.20833333,24.1965710416667,1
627.cam4_s-573B_12T,base,1.58476,1.57539,1.64686,1.65854,1.58594,1.63042,1.63346,1.63476,1.63057,1.62996,1.63124,1.62969,583.979,4.65009,188.958,0.155398,0.311405,0,0,1823585.125,9.117925625,1
628.pop2_s-17B_12T,base,1.83209,1.82985,1.83383,1.85914,1.82381,1.84157,1.82895,1.82974,1.83345,1.88413,1.85644,1.82996,223.082,0.76782,13.4138,0.166443,0.135007,0,0,1240243.875,6.201219375,1
649.fotonik3d_s-10881B_12T,base,0.665799,0.665205,0.668104,0.667434,0.666632,0.668481,0.66895,0.667996,0.668102,0.666924,0.668248,0.667805,206.855,0.674761,1.65158,0.278483,0.256784,0,0,5949162.66666667,29.7458133333333,1
654.roms_s-1007B_12T,base,0.932807,0.93044,0.971261,0.971224,0.966398,0.971887,0.971305,0.971341,0.971357,0.971739,0.971305,0.97098,194.703,0.723194,0.961339,0.107136,0.0777255,0,0,1520696.20833333,7.60348104166667,1
